user_id,label,tweet
1143752870904266752,0,Definitely!!
713825521138728960,0,Also an excellent choice
1008946806573563906,0,WHY IS HE SO ADORABLE
1001896990173691907,0,Bitchhhhhhhh 3fucing entries!!!!!
884236612019814403,0,Why is this true ? 
964609686598189061,0,Right 
1122500612,0,One thing sis doesn’t do is press the issue. It’s me. I’m sis.
868678182412713985,0,My mom forcing me to go in zoom for bible study
881252515240607746,0,Someone take my phone from me I’m flirting with every single girl on my snap
1227091892787019779,0,FINE WE GET IT YOU WANT GRAY ALTER THEN BECOME GRAY ALTER! YOU DON'T NEED OUR APPROVAL FOR EVERYTHING!
1230012509458923525,0,Right
822216676544577542,0,me?wanting to rave right about now 
1157151625485549577,0,COZ IM RIGHT
54820880,0,Yes for both men and women
818623158555181072,0,[UPDATE] Show! Music Core Global Voting #1. @bts_twt : 435k votes #2. s*** : 239k votes Gap: 196k #BTS_VOTE_MUSICCORE Tutorial↓
601260051,0,That was an option lol
1121518736345792534,0,So much what you saying is true. More as true brothers not just friends. 
43745306,0,Looool so true.
114229286,0,That's what I assume she's been doing.
2993782832,0,I loved that quote.
324206641,0,"If you’re active but have less than 15k followers Follow, retweet and drop your handle, let’s follow you. Turn on my notification for more Gain..."
13107252,0,Some tempting details emerge about Jordan Peele's #TwilightZone Season 2 episodes. 
1132302901831847936,0,For — GODDESS & GODDESS JUNIOR
40173650,0,"""Sports Extra: Ohio joins fight to keep boys out of girls' sports #News"":"
3124494419,0,It's burning speakers
2718335069,0,This is the definition of doing too much
20578408,0,Aldar's net profit slumps 39% to Dh302m for Q1-2020
3085762670,0,This is actually adorable.
2797404271,0,You right
406618226,0,Maybe I’m single because I hit on more women than men 
35258484,0,Scarface in Space
926417012,0,I wanna be in Cali right now
1059456982443159552,0,rosie noona the cutie right after jen uwu noona ._.)
1046627267588251648,0,ohhh true true
933085308006031360,0,All of this is right
818788868627501056,0,Update
834300419304198144,0,Van Gogh cutting off his ear and giving it to his favorite prostitute
14155907,0,It’s true tho.
834073424368635904,0,No you aren’t
820568419405795328,0,me too omg every single time i saw it i’d just reply “sorry” like omg please just stop posting it
764531071836884993,0,"Women, but why "
761398186296610817,0,Lmao true
802646542779813889,0,This Taurus season
745343120112488449,0,Developing a profitable project might be at the top of your li... More for Cancer 
819352089864310785,0,@henrymcmaster .. do the right thing.
806846524500086785,0,issue na naman nila AWKWARD na si GIRL kay BOI kinonect na naman sa the CONDO issue GALING TLGA NILA .. #MayWard
798556298,0,It’s when she starts to cry every episode 
3251994763,0,have an intact bootyhole
818200542564454401,0,Have you seen all four films?
289112207,0,TRUTHHHH ABOUT CV TESTING
780154385632464898,0,The way the first episode is lowkey parasite
769212508599095299,0,he betrayed all of us first when he dyed it blond again it's literally his fault
824039443401150468,0,"Have some compassion. It was extremely windy that day, and the bay can be very treacherous."
1029938421916098561,0,His horny cock is edged until he explodes He is definitely in the right position for a good edging &amp; milking vid @jlinsanit #EdgeHim #edging #cumcontrol #horny #brobate #buddybate #bigcummer #jizz #nsfwtwitter pic.twitter.com/ae289ksmTf
14352556,0,"The Vashon community developed a model to test, trace and isolate — in essence, a coronavirus response plan that they call the Rural Test & Trace Toolkit. Their model could help in other isolated parts of the country."
712017135380246528,0,Fay is right there with ya!
16548023,0,What is this force shield? @MeowedOfficial
168394941,0,Usher is actually very shy sexually
